wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.48003420554672704 50.88617197806703984),"Heardacott Farm, Dipper Lane, Kilkhampton",PREAPP12/01160,Pre application - closed/issued,1,32m,---,Closed pub avail,0,0,8/29/2012,-4.48,50.8862
Point (-4.50984430494562449 50.85408909051852078),"Ivyleaf Farm, Ivyleaf Hill, Kilkhampton",PREAPP12/01161,Pre application - closed/issued,1,32m,---,Closed pub avail,0,0,8/29/2012,-4.5098,50.8541
Point (-5.21649088583852194 50.13490808583345171),"Carnebone, Laity",W2/PA05/00550/F,Application approved & operational,1,15m,20m,Operational,1,0.015,6/17/2005,-5.2165,50.1349
Point (-4.7798303108284399 50.45226234700162138),"Lower Cadwin, Lanivet",E1/2005/00717,Application approved & operational,1,9m,---,Operational,1,0.005,5/11/2005,-4.7798,50.4523
Point (-5.20611601070868169 50.15319274749808187),"Vicarage Farm, Under Lane, Wendron, Helston",W2/PA05/00700/F,Application approved & operational,1,---,9.7m,Operational,1,0.006,7/19/2005,-5.2061,50.1532
Point (-5.16325764914322871 50.05894593775514778),"Trewince, Tretharrup, St Martin",W2/PA05/00704/F,Application approved & operational,1,9m,9.7m,Operational,1,0.006,7/22/2005,-5.1633,50.0589
Point (-5.17607978205752062 50.04774340850803327),"Goonhilly Satellite Earth Station, Goonhilly Downs",W2/PA05/00767/F,Application approved & operational,1,9m,11.75m,Operational,1,0.006,8/2/2005,-5.1761,50.0477
Point (-4.49880352617882195 50.43329373341505573),"Golden Meadow, Liggars Farm Road, St Keyne.",E2/05/01170/FUL,Application approved & operational,1,9m,---,Operational,1,0.006,11/29/2005,-4.4988,50.4333
Point (-4.93254210265661364 50.36975348761000504),"Aggregate Industries Melbur Office, Summercourt",PA12/03846,Application approved & operational,1,59m,87m,Operational,1,0.5,8/10/2012,-4.9325,50.3698
Point (-4.50610278380903928 50.62299274617172529),"Land at Higher Tregunnon, Altarnun, Launceston",PA12/03264,Application approved & operational,1,24.6m,34.6m,Operational,1,0.055,7/20/2012,-4.5061,50.623
Point (-4.45399625547415834 50.77016979575830646),"Land at Thorne Farm, Whitstone, Holsworthy",PA12/03448,Application approved & operational,1,36.4m,46m,Operational,1,0.055,12/6/2012,-4.454,50.7702
Point (-5.56377457063560765 50.0734607091139523),"Castallack Farm, Castallack, Paul",PA12/03836,Application approved & operational,1,10m,12.6m,Operational,1,0.005,8/1/2012,-5.5638,50.0735
Point (-5.66086507533223227 50.10910294471298698),"Lower Numphra Farm, Numphra, St Just",PA12/02839,Application approved & operational,1,11.6m,14.4m,Operational,1,0.005,8/14/2012,-5.6609,50.1091
Point (-4.43571554231194387 50.4176062919976502),"Land at Fursdon Farm, Horningtops, Liskeard",PA12/03543,Approved on appeal and operational,1,40m,67m,Operating appeal,1,0.5,4/16/2014,-4.4357,50.4176
Point (-4.69472492840769728 50.35647471153912846),"Newhouse Farm, Priory Lane, Tywardreath, Par",PA12/03478,Application approved & operational,2,3.2m+7.5m,3.7m+8.4m,Operational,2,0.002,8/10/2012,-4.6947,50.3565
Point (-4.37499923669242818 50.62722349696925761),"Storm, Pennygillam Industrial Estate, Launceston",PA12/01671,Application approved & operational,1,50m,76m,Operational,1,0.5,1/25/2013,-4.375,50.6272
Point (-4.9506329626687382 50.49687397199027572),"Land W of Pentruse Farm, St Ervan, Wadebridge",PA12/01333/PREAPP,Pre application - closed/issued,1,24.6m,34.2m,Closed pub avail,0,0.05,7/5/2012,-4.9506,50.4969
Point (-5.1655627236510977 50.26084086683171392),"Hillside Farm, Wheal Busy Lane, Salem, Chacewater",PA12/01346/PREAPP,Pre application - closed/issued,1,25m,34.6m,Closed pub avail,0,0.05,6/1/2012,-5.1656,50.2608
Point (-4.45524413532763219 50.76960412552539736),"Land W of Thorne, Whitstone, Holsworthy",PA12/03393,Application approved & operational,1,24.6m,34.2m,Operational,1,0.055,12/6/2012,-4.4552,50.7696
Point (-5.20382619111372247 50.16021652664408492),"Land at Little Viscar, Carnkie, Wendron",PA12/04380,Application approved & operational,1,24.6m,34.2m,Operational,1,0.055,7/31/2012,-5.2038,50.1602
Point (-4.58356204894375363 50.6620180105463831),"Lundy View Farm, Hallworthy, Camelford",PA12/04121,Application approved & operational,1,20m,27.13m,Operational,1,0.02,6/20/2012,-4.5836,50.662
Point (-4.57466076571933478 50.62485253969005328),"Higher Basil Farm, Altarnun Road, St Clether",PA12/04254,Application approved & operational,1,20m,25.55m,Operational,1,0.016,7/10/2012,-4.5747,50.6249
Point (-5.09795033745635706 50.33718418845592879),"Oak Ridge Farm, Goonhavern, Truro",PA12/04548,Application approved & operational,1,25m,34.4m,Operational,1,0.05,9/19/2012,-5.098,50.3372
Point (-4.79446811072443779 50.5433385920374576),"Pippens Cottage, Hendra Lane, St Kew, Bodmin",PA12/01406/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0,11/22/2012,-4.7945,50.5433
Point (-4.24821857691254134 50.51297972817248194),"Stonecrop, Harrowbarrow",PA12/01407/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0.02,7/9/2012,-4.2482,50.513
Point (-4.51042567891559099 50.7553350884494705),"Trefrouse, Week St Mary, Holsworthy",PA12/03950,Approved on appeal and operational,1,36.4m,46m,Operating appeal,1,0.05,1/4/2013,-4.5104,50.7553
Point (-4.48273375809293118 50.35280422907116815),"Land nr Parkers Cross, Looe",PA12/04769,Application approved & operational,1,35m,45m,Operational,1,0.05,7/20/2012,-4.4827,50.3528
Point (-5.14800180327957424 50.27945355594316368),"Higher Deer Park, Threeburrows, Blackwater",PA12/04381,Application approved & operational,1,18.4m,24.9m,Operational,1,0.011,8/7/2012,-5.148,50.2795
Point (-4.66177494842454898 50.34019216726359502),"Penhale Caravan And Camping Park, Fowey",PA12/03171,Application approved not constructed,1,15m,19m,Approved,0,0.01,5/22/2013,-4.6618,50.3402
Point (-5.450785300359823 50.15231129682804578),"Rosevidney Barton, Truthwall Road, Crowlas",PA12/01493/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,8/15/2012,-5.4508,50.1523
Point (-5.64016585664501857 50.10001718170988028),"Tredinney Farm, St Buryan, Penzance",PREAPP12/01068,Pre application - closed/issued,1,31.5m,45m,Closed pub avail,0,0.225,5/24/2012,-5.6402,50.1
Point (-5.62307607054149639 50.14688667673443945),"Land N of Bosullow Veor, Great Bosullow, Newbridge",PA12/01504/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0,7/6/2012,-5.6231,50.1469
Point (-4.71489938739861181 50.60559456881528462),"Bodulgate Farm, Trewalder, Delabole",PA12/01337/PREAPP,Pre application - closed/issued,1,---,77m,Closed pub avail,0,0,6/28/2012,-4.7149,50.6056
Point (-4.50684574174060959 50.81098207863702498),"Penleaze, Hobbacott Lane. Marhamchurch, Bude",PA12/01365/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0.05,8/15/2012,-4.5068,50.811
Point (-5.17888080088889335 50.26279876282882242),"Boscawen Farm, Blackwater, Truro",PA12/01361/PREAPP,Pre application - closed/issued,1,25m,34.6m,Closed pub avail,0,0.05,6/1/2012,-5.1789,50.2628
Point (-5.09565416847664032 50.27870950250353133),"Land S of Great Roseveth Farm, Roseworthy",PA12/01459/PREAPP,Pre application - closed/issued,1,29m,38.6m,Closed pub avail,0,0.05,7/17/2012,-5.0957,50.2787
Point (-5.09515844249238015 50.37074675969783044),"Trelaske Farm, Cubert, Newquay",PA12/01367/PREAPP,Pre application - closed/issued,1,25m,34.6m,Closed pub avail,0,0.05,6/19/2012,-5.0952,50.3707
Point (-5.62333567741055607 50.11148163428876501),"Joans, Lower Grumbla Road, Grumbla, Sancreed",PA12/01628/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0,9/5/2012,-5.6233,50.1115
Point (-5.13855251772115462 50.30171709773727429),"NE of Truro Sawmills, Penhallow, Truro",PA12/01589,Application approved & operational,2,24.6m,34.2m,Operational,2,0.11,1/25/2013,-5.1386,50.3017
Point (-5.6742244518417273 50.06911569498984704),"Brew Farm, School Hill, St Levan, Penzance",PA12/04575,Application approved & operational,1,24.6mm,34.2m,Operational,1,0.05,10/11/2012,-5.6742,50.0691
Point (-4.95459077457152297 50.49126663112792102),"Trenouth Farm, St. Ervan, Wadebridge",PA12/04659,Application approved & operational,1,29.6m,40m,Operational,1,0.05,11/28/2012,-4.9546,50.4913
Point (-5.0730909257444381 50.3571312523756589),"Treludderow Farm, St Newlyn East",PA12/04568,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,12/18/2012,-5.0731,50.3571
Point (-4.899127106676608 50.46092035831591005),"Borlasevath Manor Farm, St Wenn, Bodmin",C2/08/01484,Application approved & operational,1,12m,---,Operational,1,0.01,2/3/2009,-4.8991,50.4609
Point (-4.86689086709660312 50.44025917268403703),"Kerpit Farm, St Wenn, Bodmin",PA11/00508,Application approved & operational,1,15m,17.75m,Operational,1,0.005,5/9/2011,-4.8669,50.4403
Point (-5.11058858585509856 50.24746067492138479),"Goodern Manor Farm, Kea, Truro",PA12/01362/PREAPP,Pre application - closed/issued,1,25m,34.6mm,Closed pub avail,0,0.05,6/12/2012,-5.1106,50.2475
Point (-5.11742216429966401 50.27519962607341597),"Land at Tregavethan, Bosvisack Farm, Tregavethan",PA12/05171,Application approved & operational,2,24m,34.41m,Operational,2,0.1,9/7/2012,-5.1174,50.2752
Point (-4.36698369677294629 50.40040921399454277),"Bake Farm, Bake Lane, Trerulefoot",PA12/05275,Approved on appeal and operational,1,40m,67m,Operating appeal,1,0.5,1/30/2014,-4.367,50.4004
Point (-5.66007418052489886 50.1570229783038215),"Calartha Farm, Calartha, Pendeen",PA12/05142,Application approved & operational,1,10m,12.75,Operational,1,0.005,9/5/2012,-5.6601,50.157
Point (-4.53336580575298864 50.35545264517283925),"Polean Farm, Pelynt, Looe",PA12/04688,Application approved & operational,1,25m,34.2m,Operational,1,0.05,9/27/2012,-4.5334,50.3555
Point (-4.56742251788733444 50.73894869207423142),"Rose Cottage, Lower Trencreek, St Gennys, Bude",PA12/05027,Application approved & operational,1,18m,21.6m,Operational,1,0.01,8/30/2012,-4.5674,50.7389
Point (-4.67614141641204384 50.60604677955705455),"Trethin Farm, Advent, Camelford",PA12/05299,Application approved & operational,1,15.4m,20.9m,Operational,1,0.015,6/11/2013,-4.6761,50.606
Point (-4.69098691561652714 50.61176589913608836),"Bowood Park Hotel and Golf Club, Camelford",PA12/05128,Application approved & operational,1,24.76m,34.6m,Operational,1,0.055,10/5/2012,-4.691,50.6118
Point (-4.50659866051285629 50.85380835064543703),"Ivyleaf Farm, Ivyleaf Hill, Kilkhampton, Bude",PA12/05289,Application approved & operational,1,33.2m,56.7m,Operational,1,0.5,7/26/2013,-4.5066,50.8538
Point (-4.55816047747056352 50.72437699278209067),"Cottage Farm, Tobarn, Jacobstow, Bude",PA12/04808,Application approved & operational,1,24.7m,35m,Operational,1,0.055,10/18/2012,-4.5582,50.7244
Point (-5.64934539401500047 50.16255424132779694),"Chypraze Farm, Morvah, Pendeen, Penzance",PA12/04071,Application approved & operational,1,10m,12.75m,Operational,1,0.005,9/21/2012,-5.6493,50.1626
Point (-4.98331481203739823 50.37761297893965207),"Land at Trewinnion Farm, Summercourt",PA12/05250,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,8/28/2012,-4.9833,50.3776
Point (-5.58176525916082245 50.12874624590666173),"Sunny Corner, Trengwainton, Penzance",PA12/06117,Application approved & operational,1,9.5m,---,Operational,1,0,10/29/2012,-5.5818,50.1287
Point (-5.6531198467203394 50.15197466466310061),"Stone Farm, Bojewyan Stennack, Pendeen",PA12/05855,Application approved & operational,1,10m,14.25m,Operational,1,0.01,8/16/2012,-5.6531,50.152
Point (-4.82149805148034005 50.41429924245616689),"Trebilcock Farm, Roche, St Austell",PA12/01862/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,8/21/2012,-4.8215,50.4143
Point (-4.41349520664137085 50.6184225461256716),"Land S of Papillion, South Petherwin, Launceston",PA12/01865/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,9/5/2012,-4.4135,50.6184
Point (-4.9239956247850829 50.48369830537037473),"Land at Trelow Downs, St Issey, Wadebridge",PA12/01839/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,10/23/2012,-4.924,50.4837
Point (-5.10987808400226129 50.35211266554280485),"Land S of Hendra Farm, Rose, Truro",PA12/01901/PREAPP,Pre application - closed/issued,1,25m,34.5,Closed pub avail,0,0.05,8/23/2012,-5.1099,50.3521
Point (-5.09421777830607514 50.15771530357267238),"Falmouth School, Trescobeas Road, Falmouth",C1/PA02/1415/08/G,Application approved & operational,1,15m,16.5m,Operational,1,0.005,11/24/2008,-5.0942,50.1577
Point (-5.16151210142639982 50.25291868796092132),"Keneva, Creegbrawse, Chacewater, Truro",C1/PA04/0368/09/R,Application approved & operational,1,12m,14.5m,Operational,1,0,5/13/2009,-5.1615,50.2529
Point (-4.90425718921736475 50.27025299778055967),"Roseland School, Tregony",C1/PA06/2070/06/G,Application approved & operational,1,12m,14.7m,Operational,1,0,12/22/2006,-4.9043,50.2703
Point (-5.13539563083942596 50.28969794228493129),"Four Burrows, Kenwyn",C1/PA14/0518/91,Approved on appeal and operational,15,30m,45.5m,Operating appeal,15,4.5,8/6/1993,-5.1354,50.2897
Point (-5.1391876942049004 50.32546153567740532),"Lamborne, Penhallow, Truro",C1/PA21/0288/09/R,Application approved & operational,1,15m,17.7m,Operational,1,0.005,5/20/2009,-5.1392,50.3255
Point (-5.11016109887487424 50.34405582092033171),"Goonhavern Primary School, Newquay Road",C1/PA21/0320/09/G,Application approved & operational,1,12m,14.7m,Operational,1,0.005,6/19/2009,-5.1102,50.3441
Point (-5.22089999189357812 50.27668126260093828),"Come To Good, Mount Hawke, Truro",C1/PA25/0342/07/G,Application approved & operational,1,15m,18.25m,Operational,1,0.006,4/5/2007,-5.2209,50.2767
Point (-5.24455060622766656 50.28184658689350073),"West Towan House, Jollys Lane, Porthtowan",C1/PA25/1194/07/R,Application approved & operational,1,9m,12.46m,Operational,1,0.006,8/10/2007,-5.2446,50.2818
Point (-5.18360984421869819 50.30806505989891519),"Ropewalk Farmhouse, Goonbell, St Agnes",C1/PA25/1414/09/R,Application approved & operational,1,18m,21.375m,Operational,1,0.005,3/1/2010,-5.1836,50.3081
Point (-5.08102517327770098 50.33373012535860624),"Land At Polstain Farm, Henver Lane, Zelah",PA12/04804,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,1/30/2014,-5.081,50.3337
Point (-5.20904057475825155 50.20124529954062353),"Trelusback Farm, Penhalvean, Redruth",PA12/06184,Application approved & operational,1,15m,17.75m,Operational,1,0.005,8/24/2012,-5.209,50.2012
Point (-4.69580614804164309 50.47058702701359323),"Newtons Margate Farm, Bodmin",PA12/04276,Application approved & operational,1,36.5m,46m,Operational,1,0.05,5/24/2013,-4.6958,50.4706
Point (-4.44793139115701663 50.4356667866059496),"Land to N of Oak House, Trethawle, Liskeard",PA12/04542,Application approved & operational,1,50m,66.7m,Operational,1,0.33,10/9/2012,-4.4479,50.4357
Point (-4.4129493775195634 50.57193888585101149),"Langstone Farm, Langston Hill",PA12/05972,Application approved & operational,1,15m,19m,Operational,1,0.01,7/9/2012,-4.4129,50.5719
Point (-5.09839189713692864 50.32344990551573005),"Little Callestock, Zelah, Truro",PA12/05487,Application approved & operational,1,25m,34.4m,Operational,1,0.05,10/5/2012,-5.0984,50.3234
Point (-4.32954399321294847 50.49847512040570052),"Land on the NW side of Frogwell Road, Haye",PA12/01996/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,9/5/2012,-4.3295,50.4985
Point (-4.64481900106457068 50.67075064490622083),"Treslay, Camelford",PA12/01726/PREAPP,Pre application - closed/issued,1,24m,39m,Closed pub avail,0,0.25,7/12/2012,-4.6448,50.6708
Point (-4.48236019804715546 50.75076599316692239),"Swannacott, Week St Mary, Holsworthy",E1/2008/01353,Application approved & operational,2,15m,20.2m,Operational,2,0.03,8/28/2008,-4.4824,50.7508
Point (-4.50840481150404671 50.78532619338623988),"Trelay Farm, Marhamchurch, Bude",E1/2010/00270,Application approved & operational,2,18m,24.5m,Operational,2,0.022,6/8/2010,-4.5084,50.7853
Point (-5.0108570653419644 50.48493080945576139),"St Eval Recycling Company, St Eval, Wadebridge",PA12/02157/PREAPP,Pre application - closed/issued,1,35m,61m,Closed pub avail,0,0.5,9/6/2012,-5.0109,50.4849
Point (-5.34351947182070131 50.20057607689449242),"Roseworthy Barton, Old Mill Lane",PA12/05157,Refused Planning Application,1,24m,34.4m,Refused,0,0.055,2/3/2015,-5.3435,50.2006
Point (-4.46192178084327029 50.4069134611075782),"Land S of Mount Looe, Trewidland, Liskeard",PA12/06464,Approved on appeal and operational,1,36m,46m,Operating appeal,1,0.05,1/15/2014,-4.4619,50.4069
Point (-4.51062364534259341 50.86250346996149574),"Killock Farm, Kilkhampton, Bude",PA12/05351,Application approved & operational,1,24.8m,35m,Operational,1,0.05,8/31/2012,-4.5106,50.8625
Point (-5.49282895278311578 50.16602938892588526),"Trembethow Farm, Lelant Downs, Hayle",PA11/00502,Application approved & operational,1,24.8m,34.2m,Operational,1,0.05,3/16/2011,-5.4928,50.166
Point (-5.36031563172450198 50.1896260306629074),"46 Gwinear Lane, Gwinear, Hayle",W1/10-0255,Application approved & operational,1,25m,34.5m,Operational,1,0.005,6/21/2010,-5.3603,50.1896
Point (-5.65196127256213643 50.08313068925087919),"Rissick, Crows-An-Wra, St Buryan, Penzance",W1/10-0375,Application approved & operational,1,15m,17.75m,Operational,1,0.006,9/8/2010,-5.652,50.0831
Point (-5.01953956963263881 50.37475194611130291),"Degembris Major Farm, St Newlyn East",PA12/02207/PREAPP,Pre application - closed/issued,2,50m,76.25m,Closed pub avail,0,1,9/3/2012,-5.0195,50.3748
Point (-5.37582457645103684 50.21526869334437748),"19 Prosper Hill, Gwithian",W1/10-0425,Application approved & operational,1,15.4m,18.15m,Operational,1,0.005,6/16/2010,-5.3758,50.2153
Point (-5.43851025396520349 50.1224562674390981),"St Pirans Village Hall, South Road, Goldsithney",W1/10-0293,Application approved & operational,1,9.7m,12.45m,Operational,1,0.006,4/30/2010,-5.4385,50.1225
Point (-4.93556008397949242 50.35647824199945433),"Land at Menna Farm, Grampound Road.",PA12/06866,Application approved & operational,1,24.6m,34.2m,Operational,1,0.055,12/13/2012,-4.9356,50.3565
Point (-4.83197380834770573 50.26188858725787156),"Tregerrick Farm, Gorran Highlanes, St Austell",PA10/04518,Application approved & operational,2,24m,34.6m,Operational,2,0.1,12/10/2010,-4.832,50.2619
Point (-4.87659557277102618 50.30110718122422497),"Penans Farm, Grampound, Truro",PA12/06977,Application approved not constructed,1,44m,70m,Approved,0,0.5,2/4/2013,-4.8766,50.3011
Point (-5.10690406339208636 50.390851655516677),"Little Carines, Cubert, Newquay",PA12/02182/PREAPP,Pre application - closed/issued,1,18m,20.75m,Closed pub avail,0,0.005,10/3/2012,-5.1069,50.3909
Point (-4.91351955818250463 50.23163667133404431),"Calendra Farm, Calendra, Veryan, Truro",C1/PA36/0839/09/B,Application approved & operational,1,15m,17.7m,Operational,1,0.005,10/13/2009,-4.9135,50.2316
Point (-4.74850976437176442 50.36559840858120651),"Eden Project, Bodelva",C2/06/01233,Application approved & operational,1,---,---,Operational,1,0.005,11/28/2006,-4.7485,50.3656
Point (-4.72056400657634878 50.39756112223573581),"Coombe Lea, Lanlivery, Bodmin",C2/06/01657,Application approved & operational,1,9m,12.3m,Operational,1,0.006,1/19/2007,-4.7206,50.3976
Point (-4.67585671699653105 50.35638665546086656),"West Lampetho, Tywardreath",C2/07/00976,Application approved & operational,1,15m,17.5m,Operational,1,0.006,8/9/2007,-4.6759,50.3564
Point (-5.05573499985087604 50.40546812913212449),"Souvenir, Lane Road, Trencreek, Newquay",C2/07/01001,Application approved & operational,1,---,25-34m,Operational,1,0,9/14/2007,-5.0557,50.4055
Point (-4.99196026943944293 50.40937473475826636),"Bosoughan Farmhouse, Bosoughan, Newquay",C2/07/01576,Application approved & operational,1,---,---,Operational,1,0,11/16/2007,-4.992,50.4094
Point (-4.98414730636330372 50.3772580191788748),"Trewinnion Farm, Summercourt",C2/08/00392,Application approved & operational,1,---,---,Operational,1,0.015,4/28/2008,-4.9841,50.3773
Point (-4.67019610510669914 50.42843697689671245),"Princetown, Nr Polmaugan, Lostwithiel",C2/08/00397,Application approved & operational,1,---,---,Operational,1,0.006,5/2/2008,-4.6702,50.4284
Point (-5.04674600753371738 50.4189696964113665),"St Columb Minor School, Newquay",C2/08/00484,Application approved & operational,1,15m,16.5m,Operational,1,0.006,6/3/2008,-5.0467,50.419
Point (-4.65537834314639731 50.39731942986653479),"Tredethick, Lostwithiel",C2/08/01203,Application approved & operational,1,---,---,Operational,1,0.02,10/2/2008,-4.6554,50.3973
Point (-4.70791254948426996 50.42584146981899096),"The Stables, Tredinnick Pits, Bodmin",C2/08/01358,Application approved & operational,1,18m,19.8m,Operational,1,0.01,12/4/2008,-4.7079,50.4258
Point (-4.48585363626820754 50.70903399796301869),"Hillcrest, Maxworthy, Launceston",E1/2005/01816,Application approved & operational,1,12m,---,Operational,1,0.005,9/30/2005,-4.4859,50.709
Point (-4.54852846471611105 50.89688600689896703),"Stanbury Manor, Morwenstow, Bude",E1/2006/01156,Application approved & operational,1,9m,---,Operational,1,0.006,8/16/2006,-4.5485,50.8969
Point (-4.59579366778829357 50.62715745907184584),"Higher Penhale, St Clether, Launceston",E1/2006/02413,Application approved & operational,1,---,---,Operational,1,0.001,1/25/2007,-4.5958,50.6272
Point (-4.48568672015948788 50.89432903308944134),"Elmsworthy House, Kilkhampton, Bude",E1/2007/00750,Application approved & operational,1,9m,11.8m,Operational,1,0.006,6/20/2007,-4.4857,50.8943
Point (-4.38188113033505111 50.62721949622025619),"Unit 19/26 Launceston Depot, Pennygillam Ind. Est.",E1/2007/01640,Application approved & operational,1,15m,19.8m,Operational,1,0.015,10/8/2007,-4.3819,50.6272
Point (-4.54605878177682321 50.81666800851831312),"Land Adjacent Treeways, Upton, Bude",E1/2008/00146,Application approved & operational,1,---,---,Operational,1,0,4/30/2008,-4.5461,50.8167
Point (-4.44750303588198292 50.83440120227044901),"Burmsdon Farm, Pancrasweek, Holsworthy",E1/2008/01352,Application approved & operational,2,15m,20.2m,Operational,2,0.03,8/28/2008,-4.4475,50.8344
Point (-4.50638843642181541 50.72957956948648217),"Creddacott Farm, Week St Mary, Holsworthy",E1/2008/01354,Application approved & operational,2,15m,20.2m,Operational,2,0.04,8/28/2008,-4.5064,50.7296
Point (-4.57328611487341607 50.70262338301099447),"Great Trevillian, Warbstow, Launceston",E1/2008/01357,Application approved & operational,2,15m,20.2m,Operational,2,0.04,8/29/2008,-4.5733,50.7026
Point (-4.66638279157713853 50.4861385774091147),"Deviock Farm, Cardinham, Bodmin",E1/2008/01574,Application approved & operational,1,18m,21.1m,Operational,1,0.01,9/29/2008,-4.6664,50.4861
Point (-4.79794909801669789 50.55893358734223142),"St Kew C P School, St Kew, Bodmin",E1/2008/01754,Application approved & operational,1,---,9m,Operational,1,0.001,10/23/2008,-4.7979,50.5589
Point (-4.56060321676988778 50.72359451515753648),"Cottage Farm Barn, Jacobstow, Bude",E1/2008/01780,Application approved & operational,2,6m,7.5m,Operational,1,0.001,11/4/2008,-4.5606,50.7236
Point (-4.43333944450946404 50.68082272788350195),"St Paternus Church, Church Hill, North Petherwin",E1/2008/01896,Application approved & operational,1,3m,3.9m,Operational,1,0.001,3/17/2009,-4.4333,50.6808
Point (-5.01817831495369315 50.50115954346400571),"St Eval Parish Hall, Porthcothan, Padstow",E1/2008/02207,Application approved & operational,2,4m,---,Operational,2,0.002,3/3/2009,-5.0182,50.5012
Point (-4.59481444483155421 50.75302548521722201),"Glencove, Dizzard, Coast Road, Bude",E1/2009/00715,Application approved & operational,1,12m,14.75m,Operational,1,0.006,7/8/2009,-4.5948,50.753
Point (-4.43765114044953979 50.69845949754839154),"Winsdon Farm,North Petherwin",E1/2009/01564,Application approved & operational,2,18m,24.5m,Operational,2,0.022,2/5/2010,-4.4377,50.6985
Point (-4.53978864522788772 50.76628061606589881),"Bangors House, Poundstock, Bude",E1/2009/01572,Approved on appeal and operational,1,18.3m,24.8m,Operating appeal,1,0.011,7/4/2011,-4.5398,50.7663
Point (-4.48365190798192881 50.89214334760225711),"Elmsworthy Farm, Kilkhampton",E1/2009/01808,Application approved & operational,1,15m,17.7m,Operational,1,0.005,2/16/2010,-4.4837,50.8921
Point (-4.67410355402445976 50.5454409773224711),"South Penquite Farm, Blisland, Bodmin",E1/2010/00401,Application approved & operational,1,12m,14.75m,Operational,1,0.005,6/30/2010,-4.6741,50.5454
Point (-4.42909304594074005 50.52369890834640387),"Upton Cross C.P School, Upton Cross, Liskeard",E2/05/01575/FUL,Application approved & operational,1,15m,---,Operational,1,0,9/1/2006,-4.4291,50.5237
Point (-4.54064127806936479 50.36966804346873516),"Lancare Park, Pelynt, Looe",E2/06/01649/FUL,Application approved & operational,1,---,---,Operational,1,0,2/23/2007,-4.5406,50.3697
Point (-4.47528797157219316 50.38608189089798373),"Lant Pt OS 1791, Treworgey Farm, Duloe",E2/07/00629/FUL,Application approved & operational,1,15m,---,Operational,1,0.015,7/17/2007,-4.4753,50.3861
Point (-4.54130106092038588 50.53752502083780485),"Harrowbridge Hill Farm, Common Moor",E2/08/01786/FUL,Application approved & operational,2,15m,---,Operational,2,0.03,12/24/2008,-4.5413,50.5375
Point (-4.22331111157507166 50.51438326341041574),"Drakewells Mine, Cemetery Road, Drakewalls",E2/08/01824/CCC,Application approved & operational,1,12.25m,---,Operational,1,0.006,3/5/2009,-4.2233,50.5144
Point (-4.45455320168556401 50.52661212479566188),"Cheesewring Farm, Minions, Liskeard",E2/09/00744/FUL,Application approved & operational,1,15m,---,Operational,1,0.006,11/2/2009,-4.4546,50.5266
Point (-5.25905179145039892 50.15683951284555775),"Higher Boquio Farm, Farms Common, Wendron",PA10/03197,Application approved & operational,1,15m,17.75m,Operational,1,0.006,8/4/2010,-5.2591,50.1568
Point (-4.51706002049151323 50.90757938164338725),"St Marks C Of E School, Shop, Morwenstow, Bude",PA10/04430,Application approved & operational,1,18m,20.7m,Operational,1,0.005,3/17/2011,-4.5171,50.9076
Point (-4.59753136169693555 50.64523780427886379),"Trefern Bungalow, Tremail, Camelford",PA10/04541,Application approved & operational,1,18.3m,24.8m,Operational,1,0.011,9/9/2010,-4.5975,50.6452
Point (-5.24499076484004423 50.15007963764352894),"Carthvean Farm, Porkellis, Helston",PA10/04600,Application approved & operational,1,15m,17.75m,Operational,1,0.006,10/4/2010,-5.245,50.1501
Point (-4.95439867631192321 50.51092910130532232),"Roscullion Farmhouse, Ruscullion Lane, St Issey",PA10/05312,Application approved & operational,1,20m,25m,Operational,1,0.015,5/16/2011,-4.9544,50.5109
Point (-5.16038093361466199 50.18484266706393271),"Roseath, Stithians, Truro",PA10/05479,Application approved & operational,1,15m,17.8m,Operational,1,0.006,11/8/2010,-5.1604,50.1848
Point (-4.46189449926263748 50.8820185375952434),"Land At Aldercombe Barton, Kilkhampton, Bude",PA10/06936,Application approved & operational,1,24m,28.5m,Operational,1,0.05,1/21/2011,-4.4619,50.882
Point (-5.66863349285955564 50.07585313079611211),"Trevear Farm, Sennen, Penzance",PA10/07033,Application approved & operational,1,25m,34.6m,Operational,1,0.05,2/2/2011,-5.6686,50.0759
